"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 24 09:45:49 BRT 2022","Tue May 24 09:46:50 BRT 2022","60343","","Access Admin Panel","","Access Admin Panel","should login with valid credentials","should login with valid credentials",""
"passed","Tue May 24 09:56:05 BRT 2022","Tue May 24 09:56:35 BRT 2022","29588","","Access Admin Panel","","Access Admin Panel","should login with valid credentials","should login with valid credentials",""
